,country_name,country_code,2005,2007,2008,2010,2012,2014,continent,sub_region,median_avg,pre_financial,post_financial,recovered_yr,recovered_yr_2014
94,Lesotho,LSO,31.31,29.62,28.76,27.08,25.37,24.22,Africa,Southern Africa,29.19,-2.549999999999997,1.6800000000000033,3.3900000000000006,4.540000000000003
95,Liberia,LBR,2.19,2.21,2.23,2.27,2.17,2.08,Africa,Western Africa,2.22,0.040000000000000036,-0.040000000000000036,0.06000000000000005,0.1499999999999999
96,Libya,LBY,19.39,19.38,19.38,19.27,19.03,19.46,Africa,Northern Africa,19.38,-0.010000000000001563,0.10999999999999943,0.34999999999999787,-0.08000000000000185
97,Lithuania,LTU,8.32,4.25,5.83,17.81,13.36,10.7,Europe,Northern Europe,5.04,-2.49,-11.979999999999999,-7.529999999999999,-4.869999999999999
98,Luxembourg,LUX,4.49,4.07,5.06,4.36,5.14,5.85,Europe,Western Europe,4.56,0.5699999999999994,0.6999999999999993,-0.08000000000000007,-0.79
99,"Macao SAR, China",MAC,4.16,3.27,3.0,2.84,1.97,1.7,Asia,Eastern Asia,3.14,-1.1600000000000001,0.16000000000000014,1.03,1.3
100,Madagascar,MDG,2.62,3.26,3.58,4.28,0.6,1.39,Africa,Eastern Africa,3.42,0.96,-0.7000000000000002,2.98,2.1900000000000004
101,Malawi,MWI,5.84,5.84,5.86,5.89,5.95,5.9,Africa,Eastern Africa,5.85,0.020000000000000462,-0.02999999999999936,-0.08999999999999986,-0.040000000000000036
102,Malaysia,MYS,3.53,3.23,3.32,3.39,3.1,2.88,Asia,South-Eastern Asia,3.28,-0.20999999999999996,-0.07000000000000028,0.21999999999999975,0.43999999999999995
103,Maldives,MDV,7.2,9.87,11.06,11.29,9.47,7.87,Asia,Southern Asia,10.46,3.8600000000000003,-0.22999999999999865,1.5899999999999999,3.1900000000000004
104,Mali,MLI,9.69,11.71,10.49,8.07,6.65,6.38,Africa,Western Africa,11.1,0.8000000000000007,2.42,3.84,4.11
105,Malta,MLT,6.92,6.47,5.98,6.85,6.2,5.72,Europe,Southern Europe,6.22,-0.9399999999999995,-0.8699999999999992,-0.21999999999999975,0.2600000000000007
106,Mauritania,MRT,9.79,9.88,9.87,9.86,9.86,10.05,Africa,Western Africa,9.88,0.08000000000000007,0.009999999999999787,0.009999999999999787,-0.1800000000000015
107,Mauritius,MUS,9.52,8.48,7.17,7.65,7.47,7.47,Africa,Eastern Africa,7.82,-2.3499999999999996,-0.4800000000000004,-0.2999999999999998,-0.2999999999999998
108,Mexico,MEX,3.56,3.63,3.87,5.3,4.89,4.81,Americas,Central America,3.75,0.31000000000000005,-1.4299999999999997,-1.0199999999999996,-0.9399999999999995
109,Moldova,MDA,7.29,5.07,3.98,7.45,5.58,3.73,Europe,Eastern Europe,4.53,-3.31,-3.47,-1.6,0.25
110,Mongolia,MNG,7.04,7.2,5.56,6.55,3.9,4.8,Asia,Eastern Asia,6.38,-1.4800000000000004,-0.9900000000000002,1.6599999999999997,0.7599999999999998
111,Montenegro,MNE,30.31,19.4,17.15,19.65,19.97,18.0,Europe,Southern Europe,18.27,-13.16,-2.5,-2.8200000000000003,-0.8500000000000014
112,Morocco,MAR,11.01,9.56,9.57,9.09,8.99,9.7,Africa,Northern Africa,9.57,-1.4399999999999995,0.4800000000000004,0.5800000000000001,-0.129999999999999
113,Mozambique,MOZ,3.02,3.09,3.13,3.22,3.3,3.38,Africa,Eastern Africa,3.11,0.10999999999999988,-0.0900000000000003,-0.16999999999999993,-0.25
114,Myanmar,MMR,0.67,0.69,0.71,0.72,0.75,0.75,Asia,South-Eastern Asia,0.7,0.039999999999999925,-0.010000000000000009,-0.040000000000000036,-0.040000000000000036
115,Namibia,NAM,22.22,22.16,22.19,22.12,16.77,18.52,Africa,Southern Africa,22.18,-0.029999999999997584,0.07000000000000028,5.420000000000002,3.6700000000000017
116,Nepal,NPL,1.46,1.33,1.33,1.82,2.33,2.94,Asia,Southern Asia,1.33,-0.1299999999999999,-0.49,-1.0,-1.6099999999999999
117,Netherlands,NLD,5.87,4.15,3.65,4.99,5.82,7.42,Europe,Western Europe,3.9,-2.22,-1.3400000000000003,-2.1700000000000004,-3.77
118,New Caledonia,NCL,15.85,14.83,14.58,13.81,14.35,14.59,Oceania,Melanesia,14.7,-1.2699999999999996,0.7699999999999996,0.23000000000000043,-0.009999999999999787
119,New Zealand,NZL,3.81,3.66,4.17,6.56,6.93,5.43,Oceania,Australia and New Zealand,3.92,0.3599999999999999,-2.3899999999999997,-2.76,-1.2599999999999998
120,Nicaragua,NIC,5.37,4.89,6.2,7.83,5.21,4.52,Americas,Central America,5.54,0.8300000000000001,-1.63,0.9900000000000002,1.6800000000000006
121,Niger,NER,3.1,2.2,1.71,0.78,2.18,0.52,Africa,Western Africa,1.96,-1.3900000000000001,0.9299999999999999,-0.4700000000000002,1.19
122,Nigeria,NGA,3.87,3.84,3.82,3.78,3.74,4.56,Africa,Western Africa,3.83,-0.050000000000000266,0.040000000000000036,0.07999999999999963,-0.7399999999999998
123,North Macedonia,MKD,37.25,34.93,33.76,32.02,31.02,28.03,Europe,Southern Europe,34.34,-3.490000000000002,1.7399999999999949,2.7399999999999984,5.729999999999997
124,Norway,NOR,4.38,2.49,2.55,3.52,3.12,3.48,Europe,Northern Europe,2.52,-1.83,-0.9700000000000002,-0.5700000000000003,-0.9300000000000002
125,Oman,OMN,4.18,4.18,4.14,3.99,3.68,3.54,Asia,Western Asia,4.16,-0.040000000000000036,0.14999999999999947,0.4599999999999995,0.5999999999999996
126,Pakistan,PAK,0.59,0.4,0.42,0.65,1.85,1.83,Asia,Southern Asia,0.41,-0.16999999999999998,-0.23000000000000004,-1.4300000000000002,-1.4100000000000001
127,Panama,PAN,3.75,3.68,3.74,3.72,2.39,2.71,Americas,Central America,3.71,-0.009999999999999787,0.020000000000000018,1.35,1.0300000000000002
128,Papua New Guinea,PNG,2.41,2.24,2.31,2.0,2.54,2.38,Oceania,Melanesia,2.28,-0.10000000000000009,0.31000000000000005,-0.22999999999999998,-0.06999999999999984
129,Paraguay,PRY,4.82,4.71,4.42,4.57,4.09,5.03,Americas,South America,4.56,-0.40000000000000036,-0.15000000000000036,0.33000000000000007,-0.6100000000000003
130,Peru,PER,4.88,4.04,4.04,3.58,3.24,3.21,Americas,South America,4.04,-0.8399999999999999,0.45999999999999996,0.7999999999999998,0.8300000000000001
131,Philippines,PHL,3.8,3.43,3.72,3.61,3.5,3.6,Asia,South-Eastern Asia,3.58,-0.07999999999999963,0.11000000000000032,0.2200000000000002,0.1200000000000001
132,Poland,POL,17.75,9.6,7.12,9.64,10.09,8.99,Europe,Eastern Europe,8.36,-10.629999999999999,-2.5200000000000005,-2.9699999999999998,-1.87
133,Portugal,PRT,7.58,7.96,7.55,10.77,15.53,13.89,Europe,Southern Europe,7.76,-0.03000000000000025,-3.2199999999999998,-7.9799999999999995,-6.340000000000001
134,Puerto Rico,PRI,11.35,10.93,11.48,16.1,14.5,13.9,Americas,Caribbean,11.2,0.13000000000000078,-4.620000000000001,-3.0199999999999996,-2.42
135,Qatar,QAT,0.87,0.52,0.31,0.45,0.48,0.2,Asia,Western Asia,0.42,-0.56,-0.14,-0.16999999999999998,0.10999999999999999
136,Romania,ROU,7.17,6.41,5.79,6.96,6.79,6.8,Europe,Eastern Europe,6.1,-1.38,-1.17,-1.0,-1.0099999999999998
137,Russian Federation,RUS,7.12,6.0,6.21,7.37,5.44,5.16,Europe,Eastern Europe,6.1,-0.9100000000000001,-1.1600000000000001,0.7699999999999996,1.0499999999999998
138,Rwanda,RWA,0.96,1.01,1.02,1.08,1.12,1.17,Africa,Eastern Africa,1.02,0.06000000000000005,-0.06000000000000005,-0.10000000000000009,-0.1499999999999999
139,Samoa,WSM,5.29,5.36,5.58,5.73,8.75,8.72,Oceania,Polynesia,5.47,0.29000000000000004,-0.15000000000000036,-3.17,-3.1400000000000006
140,Sao Tome and Principe,STP,16.47,16.23,15.63,14.6,13.59,13.7,Africa,Middle Africa,15.93,-0.8399999999999981,1.0300000000000011,2.040000000000001,1.9300000000000015
141,Saudi Arabia,SAU,6.05,5.73,5.08,5.55,5.52,5.72,Asia,Western Asia,5.4,-0.9699999999999998,-0.46999999999999975,-0.4399999999999995,-0.6399999999999997
142,Senegal,SEN,8.9,10.08,10.13,10.26,9.44,7.65,Africa,Western Africa,10.1,1.2300000000000004,-0.129999999999999,0.6900000000000013,2.4800000000000004
143,Serbia,SRB,20.85,18.06,13.7,19.22,24.0,19.22,Europe,Southern Europe,15.88,-7.150000000000002,-5.52,-10.3,-5.52
144,Sierra Leone,SLE,3.55,3.79,3.92,4.17,4.4,4.68,Africa,Western Africa,3.86,0.3700000000000001,-0.25,-0.4800000000000004,-0.7599999999999998
145,Singapore,SGP,5.59,3.9,3.96,4.12,3.72,3.74,Asia,South-Eastern Asia,3.93,-1.63,-0.16000000000000014,0.23999999999999977,0.21999999999999975
146,Slovak Republic,SVK,16.26,11.14,9.51,14.38,13.96,13.18,Europe,Eastern Europe,10.32,-6.750000000000002,-4.870000000000001,-4.450000000000001,-3.67
